"name","name-2","name-3","sale_price"
"Hi-Fi Колонки","Remaks","Саундбар Remax RTS-10 Чёрный",1014000
"Hi-Fi Колонки","LG","Саундбар LG SK6F",2133000
"Hi-Fi Колонки","LG","Саундбар LG SK9Y",3933000
"Hi-Fi Колонки","LG","Саундбар LG SL4",1640000
"Hi-Fi Колонки","Remax","Портативная акустика Remax RB-H10 Bluetooth Чёрный",1101000
"Hi-Fi Колонки","LG","Саундбар LG SJ3",1702000
"Hi-Fi Колонки","LG","Саундбар LG SK4D",1374000
"Hi-Fi Колонки","Microlab","Саундбар Microlab TM-100",1792000
"Hi-Fi Колонки","Fenda","Акустическая система Fenda F5060X",1508000
"Hi-Fi Колонки","Fenda","Акустическая система Fenda R30BT",809000
"Hi-Fi Колонки","Fenda","Акустическая система Fenda T60X",1718000
"Флеш накопители","Imation","USB флеш накопитель Imation 8GB",66000
"Флеш накопители","Tasvir","USB флеш накопитель Imation 16GBUSB2.0",35000
"Флеш накопители","Imation","USB флеш накопитель Imation 32GBUSB2.0",95000
"Флеш накопители","Team","USB флеш накопитель Team 32GBUSB2.0",114000
"Флеш накопители","Team","USB флеш накопитель Team 16GBUSB2.0",72000
"Флеш накопители","Team","USB флеш накопитель Team 8GBUSB2.0",40000
"Флеш накопители","Kingston","USB флеш накопитель Kingston DT50/8GB",78000
"Флеш накопители","Kingston","USB флеш накопитель Kingston DT50/16GB",81000
"Флеш накопители","Kingston","USB флеш накопитель Kingston DT50/32GB",99000
"Флеш накопители","Kingston","USB флеш накопитель Kingston DT50/64GB",133000
"Флеш накопители","Silicon Power ","USB флеш накопитель Silicon Power M50/128GB",413000
"Флеш накопители","Sandisk","USB флеш накопитель Sandisk 8GBSDCZ50",72000
"Флеш накопители","Sandisk","USB флеш накопитель Sandisk 32GBSDCZ51",109000
"Флеш накопители","Advance","USB флеш накопитель Advance CHIK4GB",40000
"Флеш накопители","Advance","USB флеш накопитель Advance CHIK8GB",72000
"Флеш накопители","Genx","USB флеш накопитель Genx 2",42000
"Флеш накопители","Sandisk","USB флеш накопитель Sandisk 16SDSZ33",78000
"Флеш накопители","Faster","USB флеш накопитель Faster 16GB",78000
"Флеш накопители","Faster","USB флеш накопитель Faster 32GB",122000
"Флеш накопители","Tezroq","USB флеш накопитель Faster 64GB",222000
"Флеш накопители","LD","USB флеш накопитель LD V10 16GB",54000
"Флеш накопители","LD","USB флеш накопитель LD V10 32GB",60000
"Флеш накопители","LD","USB флеш накопитель LD V10 4GB",60000
"Флеш накопители","LD","USB флеш накопитель LD V10 8GB",47000
"Флеш накопители","Sandisk","USB флеш накопитель Sandisk SDCZ43 32GB",145000
"Флеш накопители","Sandisk","USB флеш накопитель Sandisk SDCZ43 64GB",163000
"Флеш накопители","Sandisk","USB флеш накопитель Sandisk SDCZ48 16GB",66000
"Флеш накопители","Sandisk","USB флеш накопитель Sandisk SDCZ600 32G",78000
"Флеш накопители","Sandisk","USB флеш накопитель Sandisk SDCZ73 16GB",67000
